Clothes,Temperature,Humidity,Wind,Class
more,high,prodigious,no,N
more,high,prodigious,great,N
more,high,prodigious,middling,N
normal,high,prodigious,no,P
normal,high,prodigious,middling,P
enough,moderate,prodigious,no,N
enough,moderate,prodigious,middling,N
enough,high,very good,no,P
enough,high,very good,great,N
more,moderate,prodigious,no,N
more,moderate,prodigious,middling,N
enough,moderate,very good,no,N
enough,moderate,very good,middling,N
more,moderate,very good,middling,P
more,moderate,very good,great,P
normal,moderate,prodigious,great,P
normal,moderate,prodigious,middling,P
normal,high,very good,no,P
enough,moderate,prodigious,great,N
normal,high,very good,middling,P
